"create_quest","Stwórz zadanie"
"english_language","Angielski"
"polish_language","Polski"
"quest_title","Tytuł Zadania"
"requirements_number","Ilość Warunków"
"go_to_requirements","Dodaj Warunki"
"xp_amount","Pkt. Doświadczenia"
"punishment_rate","Tempo Kar"
"save","Zapisz"
"claim","Odbierz"
"levelup","Poziom Zwiększony!"
"quest_added","Zadanie Dodane!"
"quest_removed","Zadanie Porzucone!"
"quest_completed","Zadanie ukończone!"
"quest_exists","Zadanie Już Istnieje!"
"new_day_message","Nastał nowy dzień! Nie zapomnij przejrzeć swoich zadań!"
"reminder","Zbliża się koniec! Nie zapomnij o swoim planie na ten dzień!"
