"create_quest","Create Quest"
"english_language","English"
"polish_language","Polish"
"quest_title","Quest Title"
"requirements_number","No. of Requirements"
"go_to_requirements","Add Requirements"
"xp_amount","Experience Points"
"punishment_rate","Punishment Rate"
"save","Save"
"claim","Claim"
"levelup","Level Up!"
"quest_added","Quest Added!"
"quest_removed","Quest Removed!"
"quest_completed","Quest Completed!"
"quest_exists","Quest Already Exists!"
"new_day_message","It's a new day! Don't forget to check your quests!"
"reminder","It's almost over! Don't forget about your daily routine!"
